NG_NumOfSpecies,NG_NumOfReactions,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
12,32,384,2,2.0625,3,66,2,2.0625,3,66,PLASMA
20,27,540,2,2.740740741,4,74,2,2.740740741,4,74,PLASMA
30,25,750,2,2.96,4,74,2,2.96,4,74,PLASMA
30,25,750,2,2.6,5,65,2,2.6,5,65,PLASMA
28,26,728,2,2.153846154,3,56,2,2.153846154,3,56,PLASMA
21,29,609,2,2.206896552,4,64,2,2.206896552,4,64,PLASMA
26,28,728,2,2.75,4,77,2,2.75,4,77,PLASMA
19,28,532,2,3.214285714,4,90,2,3.214285714,4,90,PLASMA
23,31,713,2,2.225806452,3,69,2,2.225806452,3,69,PLASMA
24,26,624,3,3.384615385,4,88,3,3.384615385,4,88,PLASMA
16,17,272,2,2.823529412,3,48,2,2.823529412,3,48,PLASMA
22,30,660,3,3,3,90,3,3,3,90,PLASMA
26,27,702,3,3.333333333,4,90,3,3.333333333,4,90,PLASMA
33,33,1089,2,2.242424242,4,74,2,2.242424242,4,74,PLASMA
35,32,1120,2,2,2,64,2,2,2,64,PLASMA
36,32,1152,2,2,2,64,2,2,2,64,PLASMA
34,29,986,2,3.482758621,9,101,2,3.482758621,9,101,PLASMA
28,32,896,2,3.0625,4,98,2,3.0625,4,98,PLASMA
26,31,806,2,2.483870968,4,77,2,2.483870968,4,77,PLASMA
21,34,714,2,3.117647059,4,106,2,3.117647059,4,106,PLASMA
38,30,1140,2,2,2,60,2,2,2,60,PLASMA
22,37,814,2,2.081081081,3,77,2,2.081081081,3,77,PLASMA
35,33,1155,2,2.272727273,3,75,2,2.272727273,3,75,PLASMA
30,33,990,2,2.727272727,3,90,2,2.727272727,3,90,PLASMA
42,33,1386,2,2.03030303,3,67,2,2.03030303,3,67,PLASMA
33,34,1122,2,2.235294118,3,76,2,2.235294118,3,76,PLASMA
33,31,1023,2,3.451612903,5,107,2,3.451612903,5,107,PLASMA
33,31,1023,2,3.451612903,5,107,2,3.451612903,5,107,PLASMA
33,31,1023,2,3.451612903,5,107,2,3.451612903,5,107,PLASMA
24,29,696,2,2.620689655,4,76,2,2.620689655,4,76,PLASMA
22,37,814,2,2.594594595,4,96,2,2.594594595,4,96,PLASMA
34,31,1054,2,3.290322581,5,102,2,3.290322581,5,102,PLASMA
28,23,644,2,2.826086957,4,65,2,2.826086957,4,65,PLASMA
28,23,644,2,2.826086957,4,65,2,2.826086957,4,65,PLASMA
32,32,1024,2,2.40625,4,77,2,2.40625,4,77,PLASMA
41,36,1476,2,2,2,72,2,2,2,72,PLASMA
43,36,1548,2,2,2,72,2,2,2,72,PLASMA
31,34,1054,2,2.823529412,6,96,2,2.823529412,6,96,PLASMA
28,32,896,3,3.375,4,108,3,3.375,4,108,PLASMA
34,35,1190,2,2.8,4,98,2,2.8,4,98,PLASMA
34,33,1122,2,3.333333333,5,110,2,3.333333333,5,110,PLASMA
29,39,1131,2,2.205128205,3,86,2,2.205128205,3,86,PLASMA
38,30,1140,2,2.733333333,4,82,2,2.733333333,4,82,PLASMA
34,36,1224,2,2,2,72,2,2,2,72,PLASMA
32,30,960,2,2.833333333,5,85,2,2.833333333,5,85,PLASMA
32,42,1344,2,2,2,84,2,2,2,84,PLASMA
44,43,1892,2,2,2,86,2,2,2,86,MC2
56,38,2128,2,2.026315789,3,77,2,2.026315789,3,77,PLASMA
47,41,1927,2,2.048780488,3,84,2,2.048780488,3,84,PLASMA
47,36,1692,2,3.75,9,135,2,3.75,9,135,PLASMA
45,38,1710,2,3.105263158,5,118,2,3.105263158,5,118,PLASMA
37,29,1073,2,2.931034483,3,85,2,2.931034483,3,85,PLASMA
55,41,2255,2,2.146341463,3,88,2,2.146341463,3,88,PLASMA
33,42,1386,2,2.738095238,4,115,2,2.738095238,4,115,PLASMA
51,46,2346,2,2,2,92,2,2,2,92,PLASMA
51,46,2346,2,2,2,92,2,2,2,92,PLASMA
51,46,2346,2,2,2,92,2,2,2,92,PLASMA
38,48,1824,2,2.25,4,108,2,2.25,4,108,PLASMA
37,47,1739,2,2.489361702,4,117,2,2.489361702,4,117,PLASMA
38,48,1824,2,2.041666667,3,98,2,2.041666667,3,98,PLASMA
38,48,1824,2,2.041666667,3,98,2,2.041666667,3,98,PLASMA
48,48,2304,2,2.666666667,4,128,2,2.666666667,4,128,PLASMA
37,45,1665,2,2.4,3,108,2,2.4,3,108,PLASMA
